ID_LAPSE;DUREE_MAX10;LAPSE_NIV_TOT;FACT_DIM;TX_LAPSE_TOT_MIN;TX_LAPSE_TOT_MAX
1;1;1;0.7;0;0.0222350086
1;1;2;0.7;0.0252558072;0.0339018796
1;1;3;0.7;0.0321255743;0.026820086
1;2;1;0.7;0;0.0392529571
1;2;2;0.7;0.0396903187;0.0466937521
1;2;3;0.7;0.0434723061;0.0383201449
1;3;1;0.7;0;0.0372499547
1;3;2;0.7;0.0273416345;0.0512404536
1;3;3;0.7;0.0409491661;0.0489386668
1;4;1;0.7;0;0.0389882693
1;4;2;0.7;0.0442368979;0.040929959
1;4;3;0.7;0.0558000685;0.058563542
1;5;1;0.7;0;0.0445358314
1;5;2;0.7;0.0401788234;0.0554665826
1;5;3;0.7;0.0616516257;0.0706805469
1;6;1;0.7;0;0.0439800698
1;6;2;0.7;0.0443968845;0.0609986097
1;6;3;0.7;0.0848478948;0.0662530769
1;7;1;0.7;0;0.0729784921
1;7;2;0.7;0.0889055108;0.1106586455
1;7;3;0.7;0.127362497;0.102373355
1;8;1;0.7;0;0.0485195288
1;8;2;0.7;0.0484571498;0.0684677402
1;8;3;0.7;0.0597923201;0.0695177191
1;9;1;0.7;0;0.0486801171
1;9;2;0.7;0.0602580457;0.0793227882
1;9;3;0.7;0.0770909078;0.0597670203
1;10;1;0.7;0;0.052034317
1;10;2;0.7;0.0595779226;0.0641836146
1;10;3;0.7;0.0788312609;0.0596132515
2;1;1;0.7;0;0.0284099507
2;1;2;0.7;0.0291526798;0.0338007776
2;1;3;0.7;0.0379151819;0.0400210621
2;2;1;0.7;0;0.0572397671
2;2;2;0.7;0.0548987299;0.0602145259
2;2;3;0.7;0.0748715123;0.0706624392
2;3;1;0.7;0;0.0718976173
2;3;2;0.7;0.0816041498;0.0747700421
2;3;3;0.7;0.1091772467;0.0830459115
2;4;1;0.7;0;0.0473399817
2;4;2;0.7;0.0594792513;0.065018772
2;4;3;0.7;0.0763200982;0.0721735529
2;5;1;0.7;0;0.0519575167
2;5;2;0.7;0.0454464821;0.0797044302
2;5;3;0.7;0.0772847831;0.064129205
2;6;1;0.7;0;0.0608793549
2;6;2;0.7;0.055815965;0.0768171985
2;6;3;0.7;0.0809440576;0.0837600052
2;7;1;0.7;0;0.0544765758
2;7;2;0.7;0.0509656722;0.0603671169
2;7;3;0.7;0.0658243318;0.0635537574
2;8;1;0.7;0;0.0579642172
2;8;2;0.7;0.0442027436;0.0585896872
2;8;3;0.7;0.0668744427;0.0622670851
2;9;1;0.7;0;0.044019621
2;9;2;0.7;0.0489748541;0.0645835146
2;9;3;0.7;0.0786501044;0.0631209187
2;10;1;0.7;0;0.0560798554
2;10;2;0.7;0.0521731608;0.0805582795
2;10;3;0.7;0.0620844114;0.0623568658
3;1;1;0.7;0;0.0488346293
3;1;2;0.7;0.0445709585;0.0809539107
3;1;3;0.7;0.065352523;0.0730852729
3;2;1;0.7;0;0.0505959264
3;2;2;0.7;0.045558579;0.0775506993
3;2;3;0.7;0.0588034682;0.0618207858
3;3;1;0.7;0;0.0514266248
3;3;2;0.7;0.0500954364;0.0790740258
3;3;3;0.7;0.0697025548;0.0801606764
3;4;1;0.7;0;0.0441935107
3;4;2;0.7;0.045977285;0.0808516948
3;4;3;0.7;0.0736812341;0.0785219365
3;5;1;0.7;0;0.0540125479
3;5;2;0.7;0.0453026451;0.08492134
3;5;3;0.7;0.0663459753;0.0612534458
3;6;1;0.7;0;0.0573591561
3;6;2;0.7;0.0614585798;0.078467427
3;6;3;0.7;0.0771368489;0.0684874287
3;7;1;0.7;0;0.0549938223
3;7;2;0.7;0.0534152269;0.0633089066
3;7;3;0.7;0.0732810683;0.0650337458
3;8;1;0.7;0;0.0509327751
3;8;2;0.7;0.0590915312;0.0749624674
3;8;3;0.7;0.0755422742;0.0648617513
3;9;1;0.7;0;0.0517486017
3;9;2;0.7;0.0518603831;0.0682733655
3;9;3;0.7;0.0818020373;0.0752847182
3;10;1;0.7;0;0.0487586894
3;10;2;0.7;0.0496686167;0.0845966795
3;10;3;0.7;0.0808156731;0.0608724464
4;1;1;0.7;0;0.0279326304
4;1;2;0.7;0.025182532;0.0307903413
4;1;3;0.7;0.0300199461;0.0297140843
4;2;1;0.7;0;0.0302753841
4;2;2;0.7;0.0369069676;0.0541939896
4;2;3;0.7;0.048787907;0.0479840838
4;3;1;0.7;0;0.0282176727
4;3;2;0.7;0.0273510512;0.0414504488
4;3;3;0.7;0.0479060984;0.0410327441
4;4;1;0.7;0;0.0399763802
4;4;2;0.7;0.0400785048;0.0511143164
4;4;3;0.7;0.0459339363;0.044124577
4;5;1;0.7;0;0.0415646498
4;5;2;0.7;0.045418844;0.0617706311
4;5;3;0.7;0.0623729231;0.0673723212
4;6;1;0.7;0;0.0514138655
4;6;2;0.7;0.0531379715;0.066675357
4;6;3;0.7;0.0594393368;0.0819956667
4;7;1;0.7;0;0.0772717333
4;7;2;0.7;0.0928689269;0.1370811594
4;7;3;0.7;0.1289038452;0.1346710567
4;8;1;0.7;0;0.0590966554
4;8;2;0.7;0.051212129;0.0620315536
4;8;3;0.7;0.0687794665;0.0612761833
4;9;1;0.7;0;0.0584870788
4;9;2;0.7;0.0617946338;0.0835635847
4;9;3;0.7;0.0624975083;0.0730348422
4;10;1;0.7;0;0.0586213545
4;10;2;0.7;0.0473635227;0.072125474
4;10;3;0.7;0.0742764293;0.0703850421
5;1;1;0.7;0;0.0342993672
5;1;2;0.7;0.0279522163;0.0452311297
5;1;3;0.7;0.0326529404;0.0348420614
5;2;1;0.7;0;0.0471975638
5;2;2;0.7;0.0520687615;0.0651794825
5;2;3;0.7;0.0612793567;0.0649476633
5;3;1;0.7;0;0.0712773726
5;3;2;0.7;0.0669145891;0.086715963
5;3;3;0.7;0.0738924869;0.0941929439
5;4;1;0.7;0;0.0548504999
5;4;2;0.7;0.0447753336;0.0844576746
5;4;3;0.7;0.06563767;0.0737120723
5;5;1;0.7;0;0.0448261981
5;5;2;0.7;0.0489325729;0.0588445946
5;5;3;0.7;0.0690247032;0.0651654863
5;6;1;0.7;0;0.0645447923
5;6;2;0.7;0.0554340943;0.085831402
5;6;3;0.7;0.0649058548;0.0856972954
5;7;1;0.7;0;0.0635905799
5;7;2;0.7;0.0513188514;0.0668916919
5;7;3;0.7;0.0807165103;0.0635116619
5;8;1;0.7;0;0.0450985459
5;8;2;0.7;0.0617880057;0.0727697054
5;8;3;0.7;0.0708293716;0.0693420611
5;9;1;0.7;0;0.0558005307
5;9;2;0.7;0.060152097;0.0641763747
5;9;3;0.7;0.0800588084;0.0753953872
5;10;1;0.7;0;0.0536314038
5;10;2;0.7;0.0621161321;0.0659739517
5;10;3;0.7;0.0605874695;0.0849365022
6;1;1;0.7;0;0.0501442745
6;1;2;0.7;0.049885955;0.0631703875
6;1;3;0.7;0.0861659637;0.0829225638
6;2;1;0.7;0;0.0584375393
6;2;2;0.7;0.0523550302;0.0668485637
6;2;3;0.7;0.0782710862;0.0726271968
6;3;1;0.7;0;0.051626394
6;3;2;0.7;0.0539041209;0.0618449602
6;3;3;0.7;0.0710845706;0.058722336
6;4;1;0.7;0;0.0450539391
6;4;2;0.7;0.0623705613;0.0739104418
6;4;3;0.7;0.0855052132;0.0684755886
6;5;1;0.7;0;0.0525535743
6;5;2;0.7;0.0447958432;0.0603077562
6;5;3;0.7;0.0584596806;0.0846308037
6;6;1;0.7;0;0.057210068
6;6;2;0.7;0.049475607;0.0739029879
6;6;3;0.7;0.0614424412;0.0840515637
6;7;1;0.7;0;0.05870556
6;7;2;0.7;0.0456229506;0.064680037
6;7;3;0.7;0.0657034979;0.0613792837
6;8;1;0.7;0;0.05052512
6;8;2;0.7;0.0440459692;0.0753704343
6;8;3;0.7;0.0783040241;0.0860313481
6;9;1;0.7;0;0.057876387
6;9;2;0.7;0.0590658073;0.0612811598
6;9;3;0.7;0.0654371402;0.0604149626
6;10;1;0.7;0;0.0509807889
6;10;2;0.7;0.063436688;0.0694278808
